date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:15	6636/6636	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2219ec-66cff48c-423a2bddf630ac68;gz%22	https://studysmartplus.online/assets/fonts/gijgo-material.ttf?235541	studysmartplus.online/assets/fonts/gijgo-materialba15.ttf	(from https://studysmartplus.online/assets/css/gijgo.css)
20:43:16	6716/6716	---M--	200	added ('OK')	application/font-woff	etag:%221a3c-66cff48c-6a40dfd6c2553531;;;%22	https://studysmartplus.online/assets/fonts/gijgo-material.woff?235541	studysmartplus.online/assets/fonts/gijgo-materialba15.woff	(from https://studysmartplus.online/assets/css/gijgo.css)
20:43:17	23255/23255	---M-Z	200	added ('OK')	image/svg+xml	etag:%225ad7-66cff48c-4c80dd30b228f5;gz%22	https://studysmartplus.online/assets/fonts/gijgo-material.svg?235541	studysmartplus.online/assets/fonts/gijgo-materialba15.svg	(from https://studysmartplus.online/assets/css/gijgo.css)
20:43:18	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221813c-66cff48c-996986f4631e85a2;gz%22	https://studysmartplus.online/assets/fonts/fa-brands-400.eot	studysmartplus.online/assets/fonts/fa-brands-400.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:19	98620/98620	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221813c-66cff48c-996986f4631e85a2;gz%22	https://studysmartplus.online/assets/fonts/fa-brands-400.eot?	studysmartplus.online/assets/fonts/fa-brands-400d41d.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:20	54420/54420	---M--	200	added ('OK')	font/woff2	etag:%22d494-66cff48c-5e294cfbb777188c;;;%22	https://studysmartplus.online/assets/fonts/fa-brands-400.woff2	studysmartplus.online/assets/fonts/fa-brands-400.woff2	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:21	63712/63712	---M--	200	added ('OK')	application/font-woff	etag:%22f8e0-66cff48c-6cdde2cf84d7c5b;;;%22	https://studysmartplus.online/assets/fonts/fa-brands-400.woff	studysmartplus.online/assets/fonts/fa-brands-400.woff	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:22	98384/98384	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2218050-66cff48c-86af1ae73acf4361;gz%22	https://studysmartplus.online/assets/fonts/fa-brands-400.ttf	studysmartplus.online/assets/fonts/fa-brands-400.ttf	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:24	507478/507478	---M-Z	200	added ('OK')	image/svg+xml	etag:%227be56-66cff48c-d91b1df800aa5e67;gz%22	https://studysmartplus.online/assets/fonts/fa-brands-400.svg	studysmartplus.online/assets/fonts/fa-brands-400.svg	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:24	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2279b4-66cff48c-f6cf84ecd258da3b;gz%22	https://studysmartplus.online/assets/fonts/fa-regular-400.eot	studysmartplus.online/assets/fonts/fa-regular-400.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:25	31156/31156	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2279b4-66cff48c-f6cf84ecd258da3b;gz%22	https://studysmartplus.online/assets/fonts/fa-regular-400.eot?	studysmartplus.online/assets/fonts/fa-regular-400d41d.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:26	12220/12220	---M--	200	added ('OK')	font/woff2	etag:%222fbc-66cff48c-ef5d44834a49fba0;;;%22	https://studysmartplus.online/assets/fonts/fa-regular-400.woff2	studysmartplus.online/assets/fonts/fa-regular-400.woff2	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:27	14712/14712	---M--	200	added ('OK')	application/font-woff	etag:%223978-66cff48c-62df0482add51be1;;;%22	https://studysmartplus.online/assets/fonts/fa-regular-400.woff	studysmartplus.online/assets/fonts/fa-regular-400.woff	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:28	30928/30928	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2278d0-66cff48c-7939ba92ddfdc4cb;gz%22	https://studysmartplus.online/assets/fonts/fa-regular-400.ttf	studysmartplus.online/assets/fonts/fa-regular-400.ttf	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:29	107199/107199	---M-Z	200	added ('OK')	image/svg+xml	etag:%221a2bf-66cff48c-37d3a6b498e2ca9c;gz%22	https://studysmartplus.online/assets/fonts/fa-regular-400.svg	studysmartplus.online/assets/fonts/fa-regular-400.svg	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:30	102152/102152	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218f08-66cff48c-563331425425fb0a;gz%22	https://studysmartplus.online/assets/fonts/fa-solid-900.eot	studysmartplus.online/assets/fonts/fa-solid-900.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:31	102152/102152	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218f08-66cff48c-563331425425fb0a;gz%22	https://studysmartplus.online/assets/fonts/fa-solid-900.eot?	studysmartplus.online/assets/fonts/fa-solid-900d41d.eot	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:32	38784/38784	---M--	200	added ('OK')	font/woff2	etag:%229780-66cff48c-3476a40f9c7c4744;;;%22	https://studysmartplus.online/assets/fonts/fa-solid-900.woff2	studysmartplus.online/assets/fonts/fa-solid-900.woff2	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:33	48704/48704	---M--	200	added ('OK')	application/font-woff	etag:%22be40-66cff48c-2207bb1d16865d28;;;%22	https://studysmartplus.online/assets/fonts/fa-solid-900.woff	studysmartplus.online/assets/fonts/fa-solid-900.woff	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:34	101932/101932	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2218e2c-66cff48c-e9c1f90b2bf61a06;gz%22	https://studysmartplus.online/assets/fonts/fa-solid-900.ttf	studysmartplus.online/assets/fonts/fa-solid-900.ttf	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:36	378215/378215	---M-Z	200	added ('OK')	image/svg+xml	etag:%225c567-66cff48c-e7ec71cc14d74f96;gz%22	https://studysmartplus.online/assets/fonts/fa-solid-900.svg	studysmartplus.online/assets/fonts/fa-solid-900.svg	(from https://studysmartplus.online/assets/css/fontawesome-all.min.css)
20:43:36	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-66cff48c-8a73d39d72f5246d;gz%22	https://studysmartplus.online/assets/fonts/themify.eot?-fvbane	studysmartplus.online/assets/fonts/themify9f24.eot	(from https://studysmartplus.online/assets/css/themify-icons.css)
20:43:37	78748/78748	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-66cff48c-8a73d39d72f5246d;gz%22	https://studysmartplus.online/assets/fonts/themify.eot?	studysmartplus.online/assets/fonts/themifyd41d.eot	(from https://studysmartplus.online/assets/css/themify-icons.css)
20:43:38	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-66cff48c-3a5ceb1f93f03d75;;;%22	https://studysmartplus.online/assets/fonts/themify.woff?-fvbane	studysmartplus.online/assets/fonts/themify9f24.woff	(from https://studysmartplus.online/assets/css/themify-icons.css)
20:43:39	78584/78584	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22132f8-66cff48c-8de606e5c75f5226;gz%22	https://studysmartplus.online/assets/fonts/themify.ttf?-fvbane	studysmartplus.online/assets/fonts/themify9f24.ttf	(from https://studysmartplus.online/assets/css/themify-icons.css)
20:43:40	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	etag:%223931d-66cff48c-dc96804b0bd7aea2;gz%22	https://studysmartplus.online/assets/fonts/themify.svg?-fvbane	studysmartplus.online/assets/fonts/themify9f24.svg	(from https://studysmartplus.online/assets/css/themify-icons.css)
20:43:41	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65383186-d39e84720b0c6fe9;gz%22	https://studysmartplus.online/assets/img/slider/slider-img-1.jpg	studysmartplus.online/assets/img/slider/slider-img-1.jpg	(from https://studysmartplus.online/assets/css/style.css)
20:43:42	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65383186-d39e84720b0c6fe9;gz%22	https://studysmartplus.online/assets/img/background-img/bg-img-2.jpg	studysmartplus.online/assets/img/background-img/bg-img-2.jpg	(from https://studysmartplus.online/assets/css/style.css)
